----------------------------------------
Sheet: Sepsis Das
----------------------------------------

Pareto Metrics;;Easy;Mid;Hard
# Iterations
;Tabu Random;23137,716672235216;5116,436342962166;694,2732393833418
;SA Random;1089,1032108789732;2175,1816500798905;731,9927981607921
;PPO Random;22317,587537870742;2574,2784510314696;360,413837147913

Delta
;Reference Random;1,2030019765373547;1,1248298390899747;0,897402013037973
;Reference Optimos;0,9737448939122437;0,9704336919533342;1,0844729185676096
;SA;0,984811866796833;0,9967901938243556;1,207630511483374
;Tabu Search;0,972195829327578;1,0079410083152698;0,8554879859660458
;PPO;0,9880487257854289;0,7888122913048164;1,2385446367186712
;Tabu Random;0,956779854185178;0,9606813374929074;0,6876620132871211
;SA Random;1,1327651436716015;1,234171616950064;0,7285166786247759
;PPO Random;0,9826218583495498;0,7073173355148226;0,813185353020289

Purity
;Reference Random;0,18627450980392157;0,11428571428571428;0,0
;Reference Optimos;0,8137254901960784;0,8857142857142857;1,0
;SA;0,16666666666666666;0,2571428571428571;0,2222222222222222
;Tabu Search;0,6372549019607843;0,34285714285714286;0,6666666666666666
;PPO;0,00980392156862745;0,34285714285714286;0,2222222222222222
;Tabu Random;0,00980392156862745;0,02857142857142857;0,1111111111111111
;SA Random;0,16666666666666666;0,11428571428571428;0,1111111111111111
;PPO Random;0,00980392156862745;0,02857142857142857;0,1111111111111111

Avg Cycle Time
;Base;21523074,508201;21367016,551524;21992001,652201
;Reference;22163701,210197337;22480273,767677456;21980061,31850178
;Reference Random;22520861,70456381;22715030,12988111;22230347,40235791
;Reference Optimos;21940447,076538067;22319156,39909631;21980061,31850178
;SA;21997410,598405674;21882992,738490738;21868122,175994597
;Tabu Search;21931262,973188836;22084117,643500146;22034900,75859857
;PPO;21866011,72594697;22512018,90310195;22017415,5319206
;Tabu Random;21910472,466951333;22448677,253001858;21575390,944608003
;SA Random;22575855,205859166;22727193,863704998;21591259,177225336
;PPO Random;21976390,65854726;22504743,757924665;22192879,69197992

Best Cycle Time
;Base;21523074,508201;21367016,551524;21992001,652201
;Reference;21072069,323676;21367016,551524;21506333,056828
;Reference Random;21265421,229873;21209398,294024;21840288,406788
;Reference Optimos;21072069,323676;21449581,755627;21506333,056828
;SA;20944858,002032;21367016,551524;21221099,749903
;Tabu Search;21072069,323676;21288200,252168;21776404,348979
;PPO;20709108,795509;21250656,589221;21517242,024926
;Tabu Random;21285666,800959;21367016,551524;21370047,011394
;SA Random;21265421,229873;21282481,729298;21370047,011394
;PPO Random;21114791,871279;21209398,294024;21780734,877822

Best Batch Processing per Task
;Base;10468,243729133119;10046,01498174347;10198,549801664412
;Reference;1552,0389804391532;6503,657090627132;9530,306369943373
;Reference Random;1552,0389804391532;6707,257237425446;9646,193558897961
;Reference Optimos;3163,880891756821;6503,657090627132;9530,306369943373
;SA;5444,120664697488;8374,63538715875;9530,306369943373
;Tabu Search;3163,880891756821;8446,932531121267;9595,671249111483
;PPO;3304,7217334054076;6503,657090627132;9711,922356793673
;Tabu Random;4110,17990832555;8049,840341651289;10139,206216495206
;SA Random;1552,0389804391532;6707,257237425446;9839,258770196833
;PPO Random;4411,963208289183;7403,3272434115315;9646,193558897961

Best WT-Idle per Task
;Base;0,00012323748228980678;0,00011514789663503991;0,00011597440288497566
;Reference;0,00011758209650928529;0,00011514789663503991;0,00011839999505272501
;Reference Random;0,00011758209650928529;0,00011514789663503991;500,747974721003
;Reference Optimos;385,49838775198634;653,2868666868205;0,00011839999505272501
;SA;0,00011758209650928529;0,00011514789663503991;0,00011839999505272501
;Tabu Search;0,00012323748228980678;0,00011514789663503991;0,00011839999505272501
;PPO;0,00011758209650928529;0,00011267491273792673;0,00011597440288497566
;Tabu Random;0,00011758209650928529;0,00011267491273792673;0,00011839999505272501
;SA Random;0,00012323748228980678;0,00011514789663503991;0,0001252656151399666
;PPO Random;0,00011758209650928529;0,00011514789663503991;0,00011839999505272501

Avg Batch Processing per Task
;Base;10468,243729133119;10046,01498174347;10198,549801664412
;Reference;5637,1908551318775;8406,663293608648;9899,52786505478
;Reference Random;5034,209151334983;8537,095112089413;9945,652365764368
;Reference Optimos;6139,118040110581;8568,184216138918;9899,52786505478
;SA;8176,261153554525;9295,49400065812;9791,562377078177
;Tabu Search;5710,075446613695;9297,919083598086;9928,89971261789
;PPO;5383,863890104393;8003,271128009855;9953,83815042169
;Tabu Random;7127,989803148503;9027,194945028878;10146,503467776849
;SA Random;5066,106658963202;8662,833693730609;10029,012469105824
;PPO Random;5893,026623350138;8380,078774314667;9979,858893964114

